"Age recode with <1 year olds and 90+","Combined Summary Stage with Expanded Regional Codes (2004+)","State-county","Rural-Urban Continuum Code 2013","Race and origin recode (NHW, NHB, NHAIAN, NHAPI, Hispanic)","Count"
0,0,1,0,0,0
0,0,1,0,1,0
0,0,1,0,2,0
0,0,1,0,3,0
0,0,1,0,4,0
0,0,1,0,5,0
0,0,1,1,0,0
0,0,1,1,1,0
0,0,1,1,3,0
0,0,1,1,4,0
0,0,1,1,5,0
0,0,1,2,0,0
0,0,1,2,1,0
0,0,1,2,2,0
0,0,1,2,3,0
0,0,1,2,4,0
0,0,1,3,0,0
0,0,1,3,1,0
0,0,1,3,2,0
0,0,1,3,3,0
0,0,1,3,4,0
0,0,1,4,0,0
0,0,1,4,4,0
0,0,1,5,0,0
0,0,1,6,4,0
0,0,1,7,0,0
0,0,1,8,0,0
0,0,1,9,0,0
0,0,2,0,0,0
0,0,2,0,1,0
0,0,2,0,3,0
0,0,2,0,4,0
0,0,2,1,0,0
0,0,2,1,1,0
0,0,2,1,3,0
0,0,2,1,4,0
0,0,5,0,0,0
0,0,5,0,3,0
0,0,5,3,0,0
0,0,5,3,3,0
0,0,6,4,0,0
0,0,6,7,0,0
0,0,7,4,0,0
0,0,7,7,0,0
0,0,8,0,0,0
0,0,8,0,3,0
0,0,8,1,0,0
0,0,8,1,3,0
0,0,10,0,0,0
0,0,10,1,0,0
0,0,11,0,0,0
0,0,11,0,1,0
0,0,11,0,3,0
0,0,11,0,4,0
0,0,11,2,0,0
0,0,11,2,1,0
0,0,11,2,3,0
0,0,11,2,4,0
0,0,12,4,0,0
0,0,12,7,0,0
0,0,13,4,4,0
0,0,13,6,4,0
0,0,14,0,0,0
0,0,14,0,4,0
0,0,14,3,0,0
0,0,14,3,4,0
0,0,16,0,0,0
0,0,16,0,1,0
0,0,16,0,4,0
0,0,16,2,0,0
0,0,16,2,1,0
0,0,16,2,4,0
0,0,17,0,0,0
0,0,17,0,4,0
0,0,17,3,0,0
0,0,17,3,4,0
0,0,18,4,0,0
0,0,18,5,0,0
0,0,19,4,0,0
0,0,19,8,0,0
0,0,20,0,0,0
0,0,20,0,1,0
0,0,20,0,3,0
0,0,20,0,4,0
0,0,20,0,5,0
0,0,20,1,0,0
0,0,20,1,1,0
0,0,20,1,3,0
0,0,20,1,4,0
0,0,20,1,5,0
0,0,21,0,0,0
0,0,21,0,1,0
0,0,21,3,0,0
0,0,21,3,1,0
0,0,22,0,0,0
0,0,22,0,1,0
0,0,22,1,0,0
0,0,22,1,1,0
0,0,25,0,0,0
0,0,25,2,0,0
0,0,28,0,0,0
0,0,28,0,4,0
0,0,28,2,0,0
0,0,28,2,4,0
0,0,29,0,0,0
0,0,29,3,0,0
0,0,31,0,0,0
0,0,31,0,1,0
0,0,31,0,3,0
0,0,31,0,4,0
0,0,31,1,0,0
0,0,31,1,1,0
0,0,31,1,3,0
0,0,31,1,4,0
0,0,32,0,0,0
0,0,32,0,4,0
0,0,32,1,0,0
0,0,32,1,4,0
0,0,33,4,0,0
0,0,33,8,0,0
0,0,34,0,0,0
0,0,34,0,1,0
0,0,34,0,3,0
0,0,34,0,4,0
0,0,34,1,0,0
0,0,34,1,1,0
0,0,34,1,3,0
0,0,34,1,4,0
0,0,35,0,0,0
0,0,35,0,1,0
0,0,35,0,3,0
0,0,35,0,4,0
0,0,35,1,0,0
0,0,35,1,1,0
0,0,35,1,3,0
0,0,35,1,4,0
0,0,36,0,4,0
0,0,36,1,4,0
0,0,37,0,0,0
0,0,37,0,1,0
0,0,37,0,3,0
0,0,37,0,4,0
0,0,37,1,0,0
0,0,37,1,1,0
0,0,37,1,3,0
0,0,37,1,4,0
0,0,38,0,0,0
0,0,38,0,1,0
0,0,38,0,3,0
0,0,38,0,4,0
0,0,38,1,0,0
0,0,38,1,1,0
0,0,38,1,3,0
0,0,38,1,4,0
0,0,39,0,0,0
0,0,39,0,1,0
0,0,39,0,3,0
0,0,39,1,0,0
0,0,39,1,1,0
0,0,39,1,3,0
0,0,40,0,0,0
0,0,40,0,1,0
0,0,40,0,3,0
0,0,40,0,4,0
0,0,40,2,0,0
0,0,40,2,1,0
0,0,40,2,3,0
0,0,40,2,4,0
0,0,42,0,0,0
0,0,42,0,3,0
0,0,42,1,0,0
0,0,42,1,3,0
0,0,43,0,0,0
0,0,43,2,0,0
0,0,44,0,0,0
0,0,44,0,3,0
0,0,44,0,4,0
0,0,44,1,0,0
0,0,44,1,3,0
0,0,44,1,4,0
0,0,45,0,0,0
0,0,45,2,0,0
0,0,46,0,0,0
0,0,46,0,2,0
0,0,46,3,0,0
0,0,46,3,2,0
0,0,49,0,0,0
0,0,49,0,3,0
0,0,49,0,4,0
0,0,49,2,0,0
0,0,49,2,3,0
0,0,49,2,4,0
0,0,50,0,0,0
0,0,50,2,0,0
0,0,51,0,0,0
0,0,51,0,3,0
0,0,51,0,4,0
0,0,51,2,0,0
0,0,51,2,3,0
0,0,51,2,4,0
0,0,52,0,0,0
0,0,52,3,0,0
0,0,53,4,0,0
0,0,53,5,0,0
0,0,54,4,0,0
0,0,54,9,0,0
0,0,55,0,0,0
0,0,55,0,2,0
0,0,55,0,3,0
0,0,55,0,4,0
0,0,55,2,0,0
0,0,55,2,2,0
0,0,55,2,3,0
0,0,55,2,4,0
0,0,56,4,0,0
0,0,56,5,0,0
0,0,57,0,0,0
0,0,57,0,1,0
0,0,57,0,3,0
0,0,57,0,4,0
0,0,57,2,0,0
0,0,57,2,1,0
0,0,57,2,3,0
0,0,57,2,4,0
0,0,58,0,0,0
0,0,58,0,4,0
0,0,58,1,0,0
0,0,58,1,4,0
0,0,61,0,0,0
0,0,61,0,1,0
0,0,61,0,3,0
0,0,61,0,4,0
0,0,61,1,0,0
0,0,61,1,1,0
0,0,61,2,0,0
0,0,61,2,1,0
0,0,61,2,3,0
0,0,61,2,4,0
0,0,61,4,0,0
0,0,61,5,0,0
0,0,62,0,0,0
0,0,62,0,1,0
0,0,62,2,0,0
0,0,62,2,1,0
0,0,63,0,0,0
0,0,63,0,1,0
0,0,63,1,0,0
0,0,63,1,1,0
0,0,64,4,0,0
0,0,64,5,0,0
0,0,65,0,0,0
0,0,65,1,0,0
0,0,66,0,0,0
0,0,66,0,1,0
0,0,66,0,3,0
0,0,66,0,4,0
0,0,66,2,0,0
0,0,66,2,1,0
0,0,66,2,3,0
0,0,66,2,4,0
0,0,67,0,0,0
0,0,67,2,0,0
0,0,69,0,0,0
0,0,69,2,0,0
0,0,71,0,0,0
0,0,71,0,1,0
0,0,71,0,4,0
0,0,71,1,0,0
0,0,71,1,1,0
0,0,71,1,4,0
0,0,71,2,0,0
0,0,71,2,1,0
0,0,71,3,0,0
0,0,71,3,1,0
0,0,71,3,4,0
0,0,71,4,0,0
0,0,71,4,1,0
0,0,71,4,4,0
0,0,71,5,0,0
0,0,71,5,4,0
0,0,71,6,0,0
0,0,71,7,0,0
0,0,71,7,1,0
0,0,71,8,0,0
0,0,71,9,0,0
0,0,71,10,0,0
0,0,71,10,1,0
0,0,72,4,0,0
0,0,72,8,0,0
0,0,73,4,1,0
0,0,73,10,1,0
0,0,78,0,0,0
0,0,78,1,0,0
0,0,80,4,0,0
0,0,80,8,0,0
0,0,82,0,0,0
0,0,82,0,1,0
0,0,82,3,0,0
0,0,82,3,1,0
0,0,87,4,0,0
0,0,87,5,0,0
0,0,91,4,0,0
0,0,91,5,0,0
0,0,94,0,0,0
0,0,94,2,0,0
0,0,99,0,0,0
0,0,99,1,0,0
0,0,100,0,0,0
0,0,100,3,0,0
0,0,101,4,0,0
0,0,101,4,1,0
0,0,101,10,0,0
0,0,101,10,1,0
0,0,102,0,0,0
0,0,102,0,1,0
0,0,102,1,0,0
0,0,102,1,1,0
0,0,104,0,0,0
