seer_index,county_fips
0,02900
2,06001
3,06003
4,06005
5,06007
6,06009
7,06011
8,06013
9,06015
10,06017
11,06019
12,06021
13,06023
14,06025
15,06027
16,06029
17,06031
18,06033
19,06035
20,06037
21,06039
22,06041
23,06043
24,06045
25,06047
26,06049
27,06051
28,06053
29,06055
30,06057
31,06059
32,06061
33,06063
34,06065
35,06067
36,06069
37,06071
38,06073
39,06075
40,06077
41,06079
42,06081
43,06083
44,06085
45,06087
46,06089
47,06091
48,06093
49,06095
50,06097
51,06099
52,06101
53,06103
54,06105
55,06107
56,06109
57,06111
58,06113
59,06115
60,06999
62,09001
63,09003
64,09005
65,09007
66,09009
67,09011
68,09013
69,09015
70,09999
72,13001
73,13003
74,13005
75,13007
76,13009
77,13011
78,13013
79,13015
80,13017
81,13019
82,13021
83,13023
84,13025
85,13027
86,13029
87,13031
88,13033
89,13035
90,13037
91,13039
92,13043
93,13045
94,13047
95,13049
96,13051
97,13053
98,13055
99,13057
100,13059
101,13061
102,13063
103,13065
104,13067
105,13069
106,13071
107,13073
108,13075
109,13077
110,13079
111,13081
112,13083
113,13085
114,13087
115,13089
116,13091
117,13093
118,13095
119,13097
120,13099
121,13101
122,13103
123,13105
124,13107
125,13109
126,13111
127,13113
128,13115
129,13117
130,13119
131,13121
132,13123
133,13125
134,13127
135,13129
136,13131
137,13133
138,13135
139,13137
140,13139
141,13141
142,13143
143,13145
144,13147
145,13149
146,13151
147,13153
148,13155
149,13157
150,13159
151,13161
152,13163
153,13165
154,13167
155,13169
156,13171
157,13173
158,13175
159,13177
160,13179
161,13181
162,13183
163,13185
164,13187
165,13189
166,13191
167,13193
168,13195
169,13197
170,13199
171,13201
172,13205
173,13207
174,13209
175,13211
176,13213
177,13215
178,13217
179,13219
180,13221
181,13223
182,13225
183,13227
184,13229
185,13231
186,13233
187,13235
188,13237
189,13239
190,13241
191,13243
192,13245
193,13247
194,13249
195,13251
196,13253
197,13255
198,13257
199,13259
200,13261
201,13263
202,13265
203,13267
204,13269
205,13271
206,13273
207,13275
208,13277
209,13279
210,13281
211,13283
212,13285
213,13287
214,13289
215,13291
216,13293
217,13295
218,13297
219,13299
220,13301
221,13303
222,13305
223,13307
224,13309
225,13311
226,13313
227,13315
228,13317
229,13319
230,13321
231,13999
233,15001
234,15003
235,15005
236,15007
237,15009
238,15999
240,16001
241,16003
242,16005
243,16007
244,16009
245,16011
246,16013
247,16015
248,16017
249,16019
250,16021
251,16023
252,16025
253,16027
254,16029
255,16031
256,16033
257,16035
258,16037
259,16039
260,16041
261,16043
262,16045
263,16047
264,16049
265,16051
266,16053
267,16055
268,16057
269,16059
270,16061
271,16063
272,16065
273,16067
274,16069
275,16071
276,16073
277,16075
278,16077
279,16079
280,16081
281,16083
282,16085
283,16087
285,19001
286,19003
287,19005
288,19007
289,19009
290,19011
291,19013
292,19015
293,19017
294,19019
295,19021
296,19023
297,19025
298,19027
299,19029
300,19031
301,19033
302,19035
303,19037
304,19039
305,19041
306,19043
307,19045
308,19047
309,19049
310,19051
311,19053
312,19055
313,19057
314,19059
315,19061
316,19063
317,19065
318,19067
319,19069
320,19071
321,19073
322,19075
323,19077
324,19079
325,19081
326,19083
327,19085
328,19087
329,19089
330,19091
331,19093
332,19095
333,19097
334,19099
335,19101
336,19103
337,19105
338,19107
339,19109
340,19111
341,19113
342,19115
343,19117
344,19119
345,19121
346,19123
347,19125
348,19127
349,19129
350,19131
351,19133
352,19135
353,19137
354,19139
355,19141
356,19143
357,19145
358,19147
359,19149
360,19151
361,19153
362,19155
363,19157
364,19159
365,19161
366,19163
367,19165
368,19167
369,19169
370,19171
371,19173
372,19175
373,19177
374,19179
375,19181
376,19183
377,19185
378,19187
379,19189
380,19191
381,19193
382,19195
383,19197
385,21001
386,21003
387,21005
388,21007
389,21009
390,21011
391,21013
392,21015
393,21017
394,21019
395,21021
396,21023
397,21025
398,21027
399,21029
400,21031
401,21033
402,21035
403,21037
404,21039
405,21041
406,21043
407,21045
408,21047
409,21049
410,21051
411,21053
412,21055
413,21057
414,21059
415,21061
416,21063
417,21065
418,21067
419,21069
420,21071
421,21073
422,21075
423,21077
424,21079
425,21081
426,21083
427,21085
428,21087
429,21089
430,21091
431,21093
432,21095
433,21097
434,21099
435,21101
436,21103
437,21105
438,21107
439,21109
440,21111
441,21113
442,21115
443,21117
444,21119
445,21121
446,21123
447,21125
448,21127
449,21129
450,21131
451,21133
452,21135
453,21137
454,21139
455,21141
456,21143
457,21145
458,21147
459,21149
460,21151
461,21153
462,21155
463,21157
464,21159
465,21161
466,21163
467,21165
468,21167
469,21169
470,21171
471,21173
472,21175
473,21177
474,21179
475,21181
476,21183
477,21185
478,21187
479,21189
480,21191
481,21193
482,21195
483,21197
484,21199
485,21201
486,21203
487,21205
488,21207
489,21209
490,21211
491,21213
492,21215
493,21217
494,21219
495,21221
496,21223
497,21225
498,21227
499,21229
500,21231
501,21233
502,21235
503,21237
504,21239
506,22001
507,22003
508,22005
509,22007
510,22009
511,22011
512,22013
513,22015
514,22017
515,22019
516,22021
517,22023
518,22025
519,22027
520,22029
521,22031
522,22033
523,22035
524,22037
525,22039
526,22041
527,22043
528,22045
529,22047
530,22049
531,22051
532,22053
533,22055
534,22057
535,22059
536,22061
537,22063
538,22065
539,22067
540,22069
541,22071
542,22073
543,22075
544,22077
545,22079
546,22081
547,22083
548,22085
549,22087
550,22089
551,22091
552,22093
553,22095
554,22097
555,22099
556,22101
557,22103
558,22105
559,22107
560,22109
561,22111
562,22113
563,22115
564,22117
565,22119
566,22121
567,22123
568,22125
569,22127
570,22999
572,34001
573,34003
574,34005
575,34007
576,34009
577,34011
578,34013
579,34015
580,34017
581,34019
582,34021
583,34023
584,34025
585,34027
586,34029
587,34031
588,34033
589,34035
590,34037
591,34039
592,34041
593,34999
595,35001
596,35003
597,35005
598,35007
599,35009
600,35011
601,35013
602,35015
603,35017
604,35019
605,35021
606,35023
607,35025
608,35027
609,35028
610,35029
611,35031
612,35033
613,35035
614,35037
615,35039
616,35041
617,35043
618,35045
619,35047
620,35049
621,35051
622,35053
623,35055
624,35057
625,35059
627,35006
628,35061
629,35999
631,36001
632,36003
633,36005
634,36007
635,36009
636,36011
637,36013
638,36015
639,36017
640,36019
641,36021
642,36023
643,36025
644,36027
645,36029
646,36031
647,36033
648,36035
649,36037
650,36039
651,36041
652,36043
653,36045
654,36047
655,36049
656,36051
657,36053
658,36055
659,36057
660,36059
661,36061
662,36063
663,36065
664,36067
665,36069
666,36071
667,36073
668,36075
669,36077
670,36079
671,36081
672,36083
673,36085
674,36087
675,36089
676,36091
677,36093
678,36095
679,36097
680,36099
681,36101
682,36103
683,36105
684,36107
685,36109
686,36111
687,36113
688,36115
689,36117
690,36119
691,36121
692,36123
693,36999
695,48001
696,48003
697,48005
698,48007
699,48009
700,48011
701,48013
702,48015
703,48017
704,48019
705,48021
706,48023
707,48025
708,48027
709,48029
710,48031
711,48033
712,48035
713,48037
714,48039
715,48041
716,48043
717,48045
718,48047
719,48049
720,48051
721,48053
722,48055
723,48057
724,48059
725,48061
726,48063
727,48065
728,48067
729,48069
730,48071
731,48073
732,48075
733,48077
734,48079
735,48081
736,48083
737,48085
738,48087
739,48089
740,48091
741,48093
742,48095
