seer_index,county_fips
0,02900
2,06001
3,06003
4,06005
5,06007
6,06009
7,06011
8,06013
9,06015
10,06017
11,06019
12,06021
13,06023
14,06025
15,06027
16,06029
17,06031
18,06033
19,06035
20,06037
21,06039
22,06041
23,06043
24,06045
25,06047
26,06049
27,06051
28,06053
29,06055
30,06057
31,06059
32,06061
33,06063
34,06065
35,06067
36,06069
37,06071
38,06073
39,06075
40,06077
41,06079
42,06081
43,06083
44,06085
45,06087
46,06089
47,06091
48,06093
49,06095
50,06097
51,06099
52,06101
53,06103
54,06105
55,06107
56,06109
57,06111
58,06113
59,06115
60,06999
62,09001
63,09003
64,09005
65,09007
66,09009
67,09011
68,09013
69,09015
70,09999
72,13001
73,13003
74,13005
75,13007
76,13009
77,13011
78,13013
79,13015
80,13017
81,13019
82,13021
83,13023
84,13025
85,13027
86,13029
87,13031
88,13033
89,13035
90,13037
91,13039
92,13043
93,13045
94,13047
95,13049
96,13051
97,13053
98,13055
99,13057
100,13059
101,13061
102,13063
103,13065
104,13067
105,13069
106,13071
107,13073
108,13075
109,13077
110,13079
111,13081
112,13083
113,13085
114,13087
115,13089
116,13091
117,13093
118,13095
119,13097
120,13099
121,13101
122,13103
123,13105
124,13107
125,13109
126,13111
127,13113
128,13115
129,13117
130,13119
131,13121
132,13123
133,13125
134,13127
135,13129
136,13131
137,13133
138,13135
139,13137
140,13139
141,13141
142,13143
143,13145
144,13147
145,13149
146,13151
147,13153
148,13155
149,13157
150,13159
151,13161
152,13163
153,13165
154,13167
155,13169
156,13171
157,13173
158,13175
159,13177
160,13179
161,13181
162,13183
163,13185
164,13187
165,13189
166,13191
167,13193
168,13195
169,13197
170,13199
171,13201
172,13205
173,13207
174,13209
175,13211
176,13213
177,13215
178,13217
179,13219
180,13221
181,13223
182,13225
183,13227
184,13229
185,13231
186,13233
187,13235
188,13237
189,13239
190,13241
191,13243
192,13245
193,13247
194,13249
195,13251
196,13253
197,13255
198,13257
199,13259
200,13261
201,13263
202,13265
203,13267
204,13269
205,13271
206,13273
207,13275
208,13277
209,13279
210,13281
211,13283
212,13285
213,13287
214,13289
215,13291
216,13293
217,13295
218,13297
219,13299
220,13301
221,13303
222,13305
223,13307
224,13309
225,13311
226,13313
227,13315
228,13317
229,13319
230,13321
231,13999
233,15001
234,15003
235,15005
236,15007
237,15009
238,15999
240,16001
241,16003
242,16005
243,16007
244,16009
245,16011
246,16013
247,16015
248,16017
249,16019
250,16021
251,16023
252,16025
253,16027
254,16029
255,16031
256,16033
257,16035
258,16037
259,16039
260,16041
261,16043
262,16045
263,16047
264,16049
265,16051
266,16053
267,16055
268,16057
269,16059
270,16061
271,16063
272,16065
273,16067
274,16069
275,16071
276,16073
277,16075
278,16077
279,16079
280,16081
281,16083
282,16085
283,16087
285,17001
286,17003
287,17005
288,17007
289,17009
290,17011
291,17013
292,17015
293,17017
294,17019
295,17021
296,17023
297,17025
298,17027
299,17029
300,17031
301,17033
302,17035
303,17037
304,17039
305,17041
306,17043
307,17045
308,17047
309,17049
310,17051
311,17053
312,17055
313,17057
314,17059
315,17061
316,17063
317,17065
318,17067
319,17069
320,17071
321,17073
322,17075
323,17077
324,17079
325,17081
326,17083
327,17085
328,17087
329,17089
330,17091
331,17093
332,17095
333,17097
334,17099
335,17101
336,17103
337,17105
338,17107
339,17109
340,17111
341,17113
342,17115
343,17117
344,17119
345,17121
346,17123
347,17125
348,17127
349,17129
350,17131
351,17133
352,17135
353,17137
354,17139
355,17141
356,17143
357,17145
358,17147
359,17149
360,17151
361,17153
362,17155
363,17157
364,17159
365,17161
366,17163
367,17165
368,17167
369,17169
370,17171
371,17173
372,17175
373,17177
374,17179
375,17181
376,17183
377,17185
378,17187
379,17189
380,17191
381,17193
382,17195
383,17197
384,17199
385,17201
386,17203
388,19001
389,19003
390,19005
391,19007
392,19009
393,19011
394,19013
395,19015
396,19017
397,19019
398,19021
399,19023
400,19025
401,19027
402,19029
403,19031
404,19033
405,19035
406,19037
407,19039
408,19041
409,19043
410,19045
411,19047
412,19049
413,19051
414,19053
415,19055
416,19057
417,19059
418,19061
419,19063
420,19065
421,19067
422,19069
423,19071
424,19073
425,19075
426,19077
427,19079
428,19081
429,19083
430,19085
431,19087
432,19089
433,19091
434,19093
435,19095
436,19097
437,19099
438,19101
439,19103
440,19105
441,19107
442,19109
443,19111
444,19113
445,19115
446,19117
447,19119
448,19121
449,19123
450,19125
451,19127
452,19129
453,19131
454,19133
455,19135
456,19137
457,19139
458,19141
459,19143
460,19145
461,19147
462,19149
463,19151
464,19153
465,19155
466,19157
467,19159
468,19161
469,19163
470,19165
471,19167
472,19169
473,19171
474,19173
475,19175
476,19177
477,19179
478,19181
479,19183
480,19185
481,19187
482,19189
483,19191
484,19193
485,19195
486,19197
488,21001
489,21003
490,21005
491,21007
492,21009
493,21011
494,21013
495,21015
496,21017
497,21019
498,21021
499,21023
500,21025
501,21027
502,21029
503,21031
504,21033
505,21035
506,21037
507,21039
508,21041
509,21043
510,21045
511,21047
512,21049
513,21051
514,21053
515,21055
516,21057
517,21059
518,21061
519,21063
520,21065
521,21067
522,21069
523,21071
524,21073
525,21075
526,21077
527,21079
528,21081
529,21083
530,21085
531,21087
532,21089
533,21091
534,21093
535,21095
536,21097
537,21099
538,21101
539,21103
540,21105
541,21107
542,21109
543,21111
544,21113
545,21115
546,21117
547,21119
548,21121
549,21123
550,21125
551,21127
552,21129
553,21131
554,21133
555,21135
556,21137
557,21139
558,21141
559,21143
560,21145
561,21147
562,21149
563,21151
564,21153
565,21155
566,21157
567,21159
568,21161
569,21163
570,21165
571,21167
572,21169
573,21171
574,21173
575,21175
576,21177
577,21179
578,21181
579,21183
580,21185
581,21187
582,21189
583,21191
584,21193
585,21195
586,21197
587,21199
588,21201
589,21203
590,21205
591,21207
592,21209
593,21211
594,21213
595,21215
596,21217
597,21219
598,21221
599,21223
600,21225
601,21227
602,21229
603,21231
604,21233
605,21235
606,21237
607,21239
608,21999
610,22001
611,22003
612,22005
613,22007
614,22009
615,22011
616,22013
617,22015
618,22017
619,22019
620,22021
621,22023
622,22025
623,22027
624,22029
625,22031
626,22033
627,22035
628,22037
629,22039
630,22041
631,22043
632,22045
633,22047
634,22049
635,22051
636,22053
637,22055
638,22057
639,22059
640,22061
641,22063
642,22065
643,22067
644,22069
645,22071
646,22073
647,22075
648,22077
649,22079
650,22081
651,22083
652,22085
653,22087
654,22089
655,22091
656,22093
657,22095
658,22097
659,22099
660,22101
661,22103
662,22105
663,22107
664,22109
665,22111
666,22113
667,22115
668,22117
669,22119
670,22121
671,22123
672,22125
673,22127
674,22999
676,34001
677,34003
678,34005
679,34007
680,34009
681,34011
682,34013
683,34015
684,34017
685,34019
686,34021
687,34023
688,34025
689,34027
690,34029
691,34031
692,34033
693,34035
694,34037
695,34039
696,34041
697,34999
699,35001
700,35003
701,35005
702,35007
703,35009
704,35011
705,35013
706,35015
707,35017
708,35019
709,35021
710,35023
711,35025
712,35027
713,35028
714,35029
715,35031
716,35033
717,35035
718,35037
719,35039
720,35041
721,35043
722,35045
723,35047
724,35049
725,35051
726,35053
727,35055
728,35057
729,35059
731,35006
732,35061
733,35999
735,36001
736,36003
737,36005
738,36007
739,36009
740,36011
741,36013
742,36015
